Frame 	 Stimulus
000031 	 +3dotD1_dir180
000151 	 +-3dotD1_dir180,180
000271 	 -+1dotD1_dir45,45
000391 	 -+3dotD1_dir180,180
000511 	 -3dotD1_dir0
000631 	 gratW1_dir225
000751 	 +1dotD1_dir45
000871 	 -1dotD1_dir270
000991 	 +-1dotD1_dir0,0
001111 	 --1dotD1opp_dir90,270
001231 	 +-1dotD1opp_dir45,225
001351 	 -+1dotD1opp_dir270,450
001471 	 ++1dotD1opp_dir135,315
001591 	 +-1dotD1opp_dir0,180
001711 	 --1dotD1opp_dir45,225
001831 	 -3dotD1_dir315
001951 	 -1dotD1_dir180
002071 	 -+1dotD1opp_dir135,315
002191 	 +-1dotD1_dir225,225
002311 	 +3dotD1_dir135
002431 	 -+3dotD1_dir135,135
002551 	 -+1dotD1_dir270,270
002671 	 ++1dotD1opp_dir180,360
002791 	 +-3dotD1_dir225,225
002911 	 gratW1_dir270
003031 	 +1dotD1_dir135
003151 	 +-3dotD1_dir315,315
003271 	 -+3dotD1_dir270,270
003391 	 +-1dotD1opp_dir270,450
003511 	 -1dotD1_dir0
003631 	 ++1dotD1opp_dir225,405
003751 	 +1dotD1_dir315
003871 	 -+1dotD1_dir0,0
003991 	 -+1dotD1opp_dir45,225
004111 	 --1dotD1opp_dir315,495
004231 	 +-1dotD1_dir45,45
004351 	 -3dotD1_dir180
004471 	 +3dotD1_dir90
004591 	 gratW1_dir180
004711 	 -+1dotD1opp_dir90,270
004831 	 -+1dotD1_dir90,90
004951 	 +1dotD1_dir225
005071 	 -+3dotD1_dir90,90
005191 	 +3dotD1_dir270
005311 	 -3dotD1_dir45
005431 	 --1dotD1opp_dir0,180
005551 	 +-3dotD1_dir135,135
005671 	 gratW1_dir315
005791 	 +-1dotD1_dir270,270
005911 	 -1dotD1_dir315
006031 	 +-1dotD1opp_dir90,270
006151 	 ++1dotD1opp_dir315,495
006271 	 +-1dotD1_dir90,90
006391 	 +-3dotD1_dir90,90
006511 	 -+3dotD1_dir0,0
006631 	 -+1dotD1opp_dir315,495
006751 	 ++1dotD1opp_dir90,270
006871 	 -+1dotD1_dir180,180
006991 	 --1dotD1opp_dir135,315
007111 	 +-1dotD1opp_dir135,315
007231 	 -1dotD1_dir135
007351 	 +1dotD1_dir90
007471 	 gratW1_dir135
007591 	 +3dotD1_dir0
007711 	 -3dotD1_dir135
007831 	 gratW1_dir90
007951 	 +-1dotD1opp_dir315,495
008071 	 +-1dotD1_dir135,135
008191 	 -+1dotD1opp_dir180,360
008311 	 +1dotD1_dir270
008431 	 -3dotD1_dir270
008551 	 -1dotD1_dir45
008671 	 ++1dotD1opp_dir0,180
008791 	 +-3dotD1_dir0,0
008911 	 -+1dotD1_dir225,225
009031 	 -+3dotD1_dir225,225
009151 	 --1dotD1opp_dir270,450
009271 	 +3dotD1_dir315
009391 	 -1dotD1_dir90
009511 	 gratW1_dir45
009631 	 +3dotD1_dir45
009751 	 -+1dotD1_dir315,315
009871 	 --1dotD1opp_dir180,360
009991 	 +1dotD1_dir0
010111 	 +-3dotD1_dir45,45
010231 	 -+1dotD1opp_dir225,405
010351 	 ++1dotD1opp_dir270,450
010471 	 -+3dotD1_dir315,315
010591 	 +-1dotD1_dir315,315
010711 	 +-1dotD1opp_dir180,360
010831 	 -3dotD1_dir90
010951 	 -+1dotD1opp_dir0,180
011071 	 +-3dotD1_dir270,270
011191 	 +1dotD1_dir180
011311 	 gratW1_dir0
011431 	 +-1dotD1opp_dir225,405
011551 	 +-1dotD1_dir180,180
011671 	 ++1dotD1opp_dir45,225
011791 	 -1dotD1_dir225
011911 	 -3dotD1_dir225
012031 	 -+3dotD1_dir45,45
012151 	 -+1dotD1_dir135,135
012271 	 +3dotD1_dir225
012391 	 --1dotD1opp_dir225,405
