Frame 	 Stimulus
000031 	 +3dotD1_dir180
000151 	 +-3dotD1_dir180,180
000271 	 -+1dotD1_dir45,45
000391 	 -+3dotD1_dir180,180
000511 	 -3dotD1_dir0
000631 	 gratW1_dir225
000751 	 +1dotD1_dir45
000871 	 -1dotD1_dir270
000991 	 +-1dotD1_dir0,0
001111 	 --1dotD1opp_dir90,270
001231 	 +-1dotD1opp_dir45,225
001351 	 -+1dotD1opp_dir270,450
001471 	 ++1dotD1opp_dir135,315
001591 	 -+1dotD1_dir270,270
001711 	 +-1dotD1opp_dir0,180
001831 	 +1dotD1_dir135
001951 	 -3dotD1_dir315
002071 	 -+3dotD1_dir135,135
002191 	 +-3dotD1_dir225,225
002311 	 ++1dotD1opp_dir180,360
002431 	 -+1dotD1opp_dir135,315
002551 	 -1dotD1_dir180
002671 	 gratW1_dir270
002791 	 +-1dotD1_dir225,225
002911 	 +3dotD1_dir135
003031 	 --1dotD1opp_dir45,225
003151 	 -+1dotD1_dir0,0
003271 	 +-3dotD1_dir315,315
003391 	 -+1dotD1opp_dir45,225
003511 	 --1dotD1opp_dir315,495
003631 	 -1dotD1_dir0
003751 	 -+3dotD1_dir270,270
003871 	 +-1dotD1_dir45,45
003991 	 -3dotD1_dir180
004111 	 ++1dotD1opp_dir225,405
004231 	 +3dotD1_dir90
004351 	 +-1dotD1opp_dir270,450
004471 	 gratW1_dir180
004591 	 +1dotD1_dir315
004711 	 +1dotD1_dir225
004831 	 +-1dotD1opp_dir90,270
004951 	 ++1dotD1opp_dir315,495
005071 	 gratW1_dir315
005191 	 +-3dotD1_dir135,135
005311 	 +-1dotD1_dir270,270
005431 	 -3dotD1_dir45
005551 	 --1dotD1opp_dir0,180
005671 	 -+3dotD1_dir90,90
005791 	 +3dotD1_dir270
005911 	 -1dotD1_dir315
006031 	 -+1dotD1opp_dir90,270
006151 	 -+1dotD1_dir90,90
006271 	 +-1dotD1_dir90,90
006391 	 ++1dotD1opp_dir90,270
006511 	 -+1dotD1opp_dir315,495
006631 	 --1dotD1opp_dir135,315
006751 	 -+3dotD1_dir0,0
006871 	 +-3dotD1_dir90,90
006991 	 gratW1_dir135
007111 	 -3dotD1_dir135
007231 	 -1dotD1_dir135
007351 	 -+1dotD1_dir180,180
007471 	 +-1dotD1opp_dir135,315
007591 	 +1dotD1_dir90
007711 	 +3dotD1_dir0
007831 	 -1dotD1_dir45
007951 	 --1dotD1opp_dir270,450
008071 	 +1dotD1_dir270
008191 	 ++1dotD1opp_dir0,180
008311 	 +-1dotD1_dir135,135
008431 	 gratW1_dir90
008551 	 -+1dotD1opp_dir180,360
008671 	 +-3dotD1_dir0,0
008791 	 +-1dotD1opp_dir315,495
008911 	 -+3dotD1_dir225,225
009031 	 -3dotD1_dir270
009151 	 -+1dotD1_dir225,225
009271 	 +3dotD1_dir315
009391 	 +3dotD1_dir45
009511 	 -3dotD1_dir90
009631 	 +-1dotD1opp_dir180,360
009751 	 -+1dotD1_dir315,315
009871 	 --1dotD1opp_dir180,360
009991 	 -+1dotD1opp_dir225,405
010111 	 +-3dotD1_dir45,45
010231 	 ++1dotD1opp_dir270,450
010351 	 gratW1_dir45
010471 	 -+3dotD1_dir315,315
010591 	 +-1dotD1_dir315,315
010711 	 +1dotD1_dir0
010831 	 -1dotD1_dir90
010951 	 +-1dotD1_dir180,180
011071 	 ++1dotD1opp_dir45,225
011191 	 -+3dotD1_dir45,45
011311 	 --1dotD1opp_dir225,405
011431 	 -3dotD1_dir225
011551 	 +1dotD1_dir180
011671 	 +-1dotD1opp_dir225,405
011791 	 -+1dotD1opp_dir0,180
011911 	 -+1dotD1_dir135,135
012031 	 +3dotD1_dir225
012151 	 +-3dotD1_dir270,270
012271 	 -1dotD1_dir225
012391 	 gratW1_dir0
