Frame 	 Stimulus
000031 	 -3dotD0.1_dir90
000106 	 gratW0.4_dir135
000181 	 gratW0.1_dir135
000256 	 gratW0.05_dir225
000331 	 -3dotD0.4_dir270
000406 	 +3dotD0.2_dir180
000481 	 +3dotD0.4_dir135
000556 	 +3dotD0.1_dir45
000631 	 +3dotD0.05_dir0
000706 	 gratW0.2_dir180
000781 	 -3dotD0.05_dir315
000856 	 -3dotD0.2_dir45
000931 	 gratW0.4_dir225
001006 	 +3dotD0.05_dir90
001081 	 gratW0.2_dir90
001156 	 -3dotD0.05_dir270
001231 	 +3dotD0.2_dir45
001306 	 +3dotD0.1_dir270
001381 	 -3dotD0.4_dir45
001456 	 gratW0.1_dir90
001531 	 -3dotD0.1_dir0
001606 	 +3dotD0.4_dir45
001681 	 gratW0.05_dir180
001756 	 -3dotD0.2_dir315
001831 	 -3dotD0.1_dir225
001906 	 +3dotD0.1_dir90
001981 	 -3dotD0.4_dir0
002056 	 gratW0.1_dir315
002131 	 -3dotD0.2_dir180
002206 	 gratW0.05_dir135
002281 	 gratW0.4_dir90
002356 	 gratW0.2_dir270
002431 	 +3dotD0.4_dir0
002506 	 +3dotD0.2_dir0
002581 	 -3dotD0.05_dir0
002656 	 +3dotD0.05_dir270
002731 	 gratW0.4_dir45
002806 	 gratW0.05_dir90
002881 	 gratW0.1_dir180
002956 	 +3dotD0.05_dir180
003031 	 gratW0.2_dir45
003106 	 -3dotD0.4_dir135
003181 	 -3dotD0.1_dir180
003256 	 -3dotD0.2_dir135
003331 	 +3dotD0.4_dir315
003406 	 -3dotD0.05_dir135
003481 	 +3dotD0.1_dir0
003556 	 +3dotD0.2_dir225
003631 	 +3dotD0.1_dir225
003706 	 gratW0.2_dir0
003781 	 +3dotD0.2_dir90
003856 	 +3dotD0.4_dir180
003931 	 gratW0.05_dir45
004006 	 -3dotD0.4_dir180
004081 	 +3dotD0.05_dir135
004156 	 gratW0.4_dir270
004231 	 -3dotD0.2_dir0
004306 	 -3dotD0.1_dir135
004381 	 gratW0.1_dir0
004456 	 -3dotD0.05_dir225
004531 	 -3dotD0.4_dir225
004606 	 gratW0.4_dir315
004681 	 -3dotD0.2_dir270
004756 	 +3dotD0.4_dir225
004831 	 +3dotD0.1_dir135
004906 	 +3dotD0.2_dir315
004981 	 -3dotD0.1_dir270
005056 	 +3dotD0.05_dir45
005131 	 -3dotD0.05_dir45
005206 	 gratW0.2_dir315
005281 	 gratW0.1_dir45
005356 	 gratW0.05_dir0
005431 	 gratW0.4_dir0
005506 	 +3dotD0.05_dir315
005581 	 -3dotD0.1_dir45
005656 	 -3dotD0.4_dir315
005731 	 gratW0.05_dir315
005806 	 gratW0.1_dir225
005881 	 +3dotD0.4_dir270
005956 	 -3dotD0.2_dir225
006031 	 gratW0.2_dir135
006106 	 +3dotD0.2_dir270
006181 	 -3dotD0.05_dir90
006256 	 +3dotD0.1_dir180
006331 	 +3dotD0.2_dir135
006406 	 +3dotD0.4_dir90
006481 	 gratW0.4_dir180
006556 	 -3dotD0.1_dir315
006631 	 -3dotD0.4_dir90
006706 	 -3dotD0.2_dir90
006781 	 gratW0.05_dir270
006856 	 -3dotD0.05_dir180
006931 	 +3dotD0.05_dir225
007006 	 +3dotD0.1_dir315
007081 	 gratW0.2_dir225
007156 	 gratW0.1_dir270
